run_id,algorithm,min_support,metric,min_threshold,avg_lift,avg_confidence,avg_leverage,association_rules
ad2fbc6d994d47a8bb7009b76f784f5d,FP-Growth,0.01,confidence,0.5,0.0,0.0,0.0,0.0
a1203021e90347cdbb32086689196e14,FP-Growth,0.01,confidence,0.3,0.0,0.0,0.0,0.0
06efb0f7c0084bf1a6720c3d8e559097,FP-Growth,0.01,lift,0.5,1.087782504452285,0.11045820210516283,0.0008576618682120276,52.0
64e2778e34704ba3a87897f8e0f1b48f,FP-Growth,0.01,lift,0.3,1.087782504452285,0.11045820210516283,0.0008576618682120276,52.0
31ba73eb747441c08db0a33975ec191f,FP-Growth,0.005,confidence,0.5,0.0,0.0,0.0,0.0
649dd1ee38a04d839be866ec8098c3e5,FP-Growth,0.005,confidence,0.3,0.0,0.0,0.0,0.0
3761509e115442b48e773e1681591dbc,FP-Growth,0.005,lift,0.5,1.0928632698499774,0.09074860431076533,0.0005756525840650694,460.0
dae6de95c6874b27aff7583f00e20dd1,FP-Growth,0.005,lift,0.3,1.0928632698499774,0.09074860431076533,0.0005756525840650694,460.0
637db1e2f9a04c679a29c08b497f4fe6,Apriori,0.01,confidence,0.5,0.0,0.0,0.0,0.0
d22c059858d74895b52545b3a18f560e,Apriori,0.01,confidence,0.3,0.0,0.0,0.0,0.0
a6f5dee0d05a4975ba603e9dd4ab75dd,Apriori,0.01,lift,0.5,1.087782504452285,0.11045820210516283,0.0008576618682120276,52.0
9fbe51c262b9498ca72531ed5a33140d,Apriori,0.01,lift,0.3,1.087782504452285,0.11045820210516283,0.0008576618682120276,52.0
c93ef9a7560448448ed52367df8860d8,Apriori,0.005,confidence,0.5,0.0,0.0,0.0,0.0
370762f567884585a9c746a6ad5b8e9c,Apriori,0.005,confidence,0.3,0.0,0.0,0.0,0.0
ce3912b9396d4302a8b7d84884bcec99,Apriori,0.005,lift,0.5,1.0928632698499774,0.09074860431076531,0.0005756525840650694,460.0
b15a6c899c574220a5e22670072434cb,Apriori,0.005,lift,0.3,1.0928632698499774,0.09074860431076531,0.0005756525840650694,460.0
25541d648a3e4a678e4ff2752fbea364,FP-Growth,0.01,confidence,0.5,0.0,0.0,0.0,0.0
b3d29a3724d249748ee16b34f8178029,FP-Growth,0.01,confidence,0.3,0.0,0.0,0.0,0.0
95022fcefd1b4a1f94dc527bfc367dbc,FP-Growth,0.01,lift,0.5,1.087782504452285,0.1104582021051628,0.0008576618682120276,52.0
b642dc33159947bbb792c89d3ae95a24,FP-Growth,0.01,lift,0.3,1.087782504452285,0.1104582021051628,0.0008576618682120276,52.0
209ce367e9594092ad838f685699b84f,FP-Growth,0.005,confidence,0.5,0.0,0.0,0.0,0.0
f009ed0786f64be0a4e3d61f1ace67e4,FP-Growth,0.005,confidence,0.3,0.0,0.0,0.0,0.0
aa23c992c4f946d48421b4fd4eb3850b,FP-Growth,0.005,lift,0.5,1.0928632698499774,0.09074860431076533,0.0005756525840650694,460.0
c1ffca04c6a544babf429de3f40d4aa8,FP-Growth,0.005,lift,0.3,1.0928632698499774,0.09074860431076533,0.0005756525840650694,460.0
289fb36148c24c62a3d5de16dacf4315,Apriori,0.01,confidence,0.5,0.0,0.0,0.0,0.0
91e80bdb54964381a5e3e2339585e679,Apriori,0.01,confidence,0.3,0.0,0.0,0.0,0.0
ac2fe760d6f043309cbad35c55088423,Apriori,0.01,lift,0.5,1.087782504452285,0.11045820210516283,0.0008576618682120276,52.0
db5cf54f03cc427e8abe73824db4233d,Apriori,0.01,lift,0.3,1.087782504452285,0.11045820210516283,0.0008576618682120276,52.0
633a7bf6ed884689a6197eaa6310c7c4,Apriori,0.005,confidence,0.5,0.0,0.0,0.0,0.0
4688e2fb62844edfa658dbebde72a8e1,Apriori,0.005,confidence,0.3,0.0,0.0,0.0,0.0
34e10ef2386147d783175c52d12e6fd2,Apriori,0.005,lift,0.5,1.0928632698499774,0.09074860431076531,0.0005756525840650694,460.0
9349b38bfd954e22b8552d4835abd435,Apriori,0.005,lift,0.3,1.0928632698499774,0.09074860431076531,0.0005756525840650694,460.0
e001a71cac18442facf86a059aa9b4f4,FP-Growth,0.01,confidence,0.5,0.0,0.0,0.0,0.0
77b49e160a7d494f8d281f64125f64ba,FP-Growth,0.01,confidence,0.3,0.0,0.0,0.0,0.0
a77cfb8e66f145a68ebd413ef96d4de1,FP-Growth,0.005,lift,0,0.0,0.0,0.0,0.0
9842554377de4994b260f7c4cb05c21b,Apriori,0.005,lift,0,0.0,0.0,0.0,0.0
8bde4b924f5c4ab3a1b577229ac0ab9c,FP-Growth,0.001,lift,0,3.0447910832622136,0.32266361341808264,0.0008930162874071962,12.0
d87ad8e881b5464aad3b6196afd5c860,Apriori,0.001,lift,0,3.0447910832622145,0.3226636134180827,0.0008930162874071961,12.0
0797247272ee486e8cddb2bd479d353f,FP-Growth,0.01,lift,0,0.0,0.0,0.0,0.0
f805bbbfe99d4fb4b0b49259546fa45f,Apriori,0.01,lift,0,0.0,0.0,0.0,0.0
923dcd3def674637ae81e0240b21bb0a,Apriori,0.01,lift,0,0.0,0.0,0.0,0.0
