Model,Accuracy,Precision,Recall,F1-Score,Training Time (s),ROC-AUC
Gradient Boosting,0.869600987248046,0.8812450109879273,0.869600987248046,0.8665915395080485,14.577762,0.9812779707528397
Neural Network,0.8667215137803373,0.8761421755782945,0.8667215137803373,0.8639207544748688,59.955584,0.9817952366625411
LightGBM,0.8648704236939531,0.870406146933597,0.8648704236939531,0.8627745849573535,0.677648,0.9821542232636669
XGBoost,0.8608597285067874,0.8643569246114847,0.8608597285067874,0.8591770412745705,1.108292,0.9817531380530211
Decision Tree,0.8404977375565611,0.840634503419339,0.8404977375565611,0.8396747313488989,0.585299,0.9263841148747642
Random Forest,0.8388523241464418,0.8387613422561011,0.8388523241464418,0.8383331585308341,1.314763,0.9603890137488232
AdaBoost,0.743006993006993,0.7579657556421022,0.743006993006993,0.7458633620196139,1.474067,0.9140455439223981
SVM (RBF),0.5432949403537639,0.5575603777931766,0.5432949403537639,0.5482424235255833,1141.983999,0.7962801612814551
Logistic Regression,0.4327437268613739,0.4401293676308537,0.4327437268613739,0.4196472690376199,0.927691,0.7187006675136856
Ridge Classifier,0.43089263677498973,0.42723457124291275,0.43089263677498973,0.4090265894028401,0.224823,0.0
Naive Bayes,0.3875976964212258,0.38146866780159766,0.3875976964212258,0.38114684080419176,0.081639,0.7285085609829979
